Pos.,Jogador,Equipe,JO,Min,EF,PTS,RT,AS,BR,TO,ER
82,Márcio #3,Sesi Franca,30,16.56,9.37,7.4,4.13,0.43,0.5,0.7,1.03
83,Gui Abreu #33,Sesi Franca,30,18.88,9.33,7.23,3.6,1.0,0.87,0.27,0.37
84,Funches III #1,Pato Basquete,29,24.03,9.28,6.72,6.34,1.14,0.83,0.48,2.0
85,Deryk #9,Paulistano,33,25.92,9.21,8.94,3.0,4.12,1.06,0.03,2.21
86,Gruber #20,Mogi,34,21.68,9.18,9.88,4.09,1.18,0.65,0.71,1.44
87,Hubner #77,Sesi Franca,35,18.22,9.09,6.54,5.37,0.63,0.43,0.23,0.66
88,Gemerson #6,BRB/Brasília,17,26.3,9.0,9.59,4.94,1.0,0.41,0.0,1.76
89,Pedro Teruel #12,KTO/Caxias do Sul,32,28.09,8.88,11.47,2.63,3.13,0.59,0.06,1.84
90,Jefferson #11,São Paulo,29,19.91,8.86,8.07,5.28,1.03,0.72,0.17,1.21
91,Zach Graham #32,Bauru,20,27.9,8.85,11.1,2.95,1.1,0.6,0.25,1.2
92,Ronald #6,Minas,24,17.06,8.71,6.58,4.42,0.5,0.38,0.42,1.17
93,Leonardo #21,UNIFACISA,12,13.88,8.67,5.25,3.67,0.5,0.58,0.83,0.83
94,Sualisson #14,Fortaleza B. C.,29,24.97,8.66,7.0,5.1,1.0,0.9,0.86,1.62
95,Buffat #9,Pinheiros,23,23.39,8.65,9.35,3.3,1.91,0.7,0.3,1.65
96,Vezaro #10,UNIFACISA,33,18.98,8.58,7.58,2.55,1.18,0.85,0.06,0.61
97,Figueroa #33,VipTech CMB,23,25.9,8.52,5.43,2.39,5.3,1.0,0.13,1.83
98,Larry Taylor #4,Bauru,35,22.94,8.49,7.31,2.66,2.6,0.8,0.03,0.71
99,P. Rava #7,BRB/Brasília,24,23.08,8.46,6.88,2.79,2.67,0.75,0.08,1.17
