Jogador,Equipe,JO,Min,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,AS,ER,IA%,BR,B/E,Pts,3P,2P,LL,EF,RT,TO,DD,TD,ET,VI,RO,RD,FC,T/FC,Posicao,camisa
Barnes,UNIFACISA,31,21.51,10.74,1.55,4.48,34.53,2.61,4.61,56.64,0.87,1.1,79.41,0.0,1.9,1.19,1.59,0.58,0.49,10.74,4.65,5.23,0.87,7.97,1.1,0.0,0.0,0.0,1.19,0.23,0.13,0.97,1.94,0.0,Armador,#34
Fuzaro,Sesi Franca,34,27.15,10.71,0.82,2.5,32.94,3.15,5.71,55.15,1.94,2.29,84.62,0.35,1.85,1.82,1.02,1.06,0.58,10.71,2.47,6.29,1.94,10.65,3.24,0.21,0.0,0.0,1.82,0.26,0.44,2.79,2.32,0.09,Ala,#6
Nesbitt,Minas,29,25.94,10.69,1.66,3.59,46.15,1.86,3.76,49.54,2.0,2.52,79.45,0.48,1.69,1.21,1.4,0.86,0.71,10.69,4.97,3.72,2.0,13.69,5.69,0.31,0.07,0.0,1.21,0.1,1.66,4.03,2.86,0.11,Ala/Pivô,#25
Humberto,Pinheiros,26,31.63,10.58,1.62,5.19,31.11,1.85,5.0,36.92,2.04,3.23,63.1,0.08,2.54,2.92,0.87,1.04,0.36,10.58,4.85,3.69,2.04,7.04,3.35,0.38,0.0,0.0,2.92,0.35,0.54,2.81,3.35,0.11,Ala/Armador,#19
Nezinho,BRB/Brasília,25,26.26,10.32,1.72,6.16,27.92,1.48,3.56,41.57,2.2,3.4,64.71,0.0,4.92,3.76,1.31,1.16,0.31,10.32,5.16,2.96,2.2,7.6,2.68,0.0,0.04,0.0,3.76,0.36,0.36,2.32,2.72,0.0,Armador,#23
Gruber,Mogi,34,21.68,9.88,1.44,4.41,32.67,1.97,4.5,43.79,1.62,2.0,80.88,0.26,1.18,1.44,0.82,0.65,0.45,9.88,4.32,3.94,1.62,9.18,4.09,0.71,0.0,0.0,1.44,0.12,0.97,3.12,2.74,0.26,Pivô,#20
Elinho,Sesi Franca,31,31.48,9.74,1.48,3.39,43.81,2.23,3.97,56.1,0.84,1.16,72.22,0.0,7.03,3.23,2.18,1.06,0.33,9.74,4.45,4.45,0.84,14.97,4.23,0.1,0.13,0.0,3.23,0.19,0.48,3.74,1.84,0.05,Armador,#5
Gemerson,BRB/Brasília,17,26.3,9.59,0.88,3.12,28.3,2.71,5.06,53.49,1.53,2.12,72.22,0.0,1.0,1.76,0.57,0.41,0.23,9.59,2.65,5.41,1.53,9.0,4.94,0.0,0.06,0.0,1.76,0.35,1.06,3.88,2.29,0.0,Ala/Pivô,#6
D. Nunes,Cerrado Basquete,28,27.44,9.57,1.14,3.29,34.78,2.25,4.07,55.26,1.64,2.0,82.14,0.07,1.79,1.0,1.79,0.54,0.54,9.57,3.43,4.5,1.64,11.61,4.79,0.25,0.04,0.0,1.0,0.11,0.75,4.04,1.93,0.13,Ala/Pivô,#24
Rashaun,Fortaleza B. C.,30,23.92,9.53,1.27,4.43,28.57,2.1,4.4,47.73,1.53,2.07,74.19,0.03,1.87,1.27,1.47,0.73,0.58,9.53,3.8,4.2,1.53,7.53,2.53,0.13,0.0,0.0,1.27,0.33,0.5,2.03,1.67,0.08,Ala,#17
Martinez,Flamengo,17,19.08,9.53,2.24,5.18,43.18,1.06,1.76,60.0,0.71,0.82,85.71,0.0,2.12,0.71,3.0,1.24,1.75,9.53,6.71,2.12,0.71,12.12,3.41,0.29,0.0,0.0,0.71,0.06,0.59,2.82,1.88,0.16,Ala,#25
Renan,São Paulo,29,23.5,9.52,1.31,4.03,32.48,1.97,3.72,52.78,1.66,1.86,88.89,0.69,0.9,1.07,0.84,0.62,0.58,9.52,3.93,3.93,1.66,11.0,4.93,0.79,0.1,0.0,1.07,0.14,1.31,3.62,1.79,0.44,Ala/Pivô,#44
Maique,Paulistano,32,24.17,9.5,0.59,1.31,45.24,3.03,5.41,56.07,1.66,2.38,69.74,0.94,0.75,1.19,0.63,0.56,0.47,9.5,1.78,6.06,1.66,13.78,7.16,0.81,0.09,0.0,1.19,0.19,2.25,4.91,2.97,0.27,Pivô,#35
Smith,Sesi Franca,17,24.34,9.47,1.94,3.94,49.25,1.0,2.35,42.5,1.65,1.94,84.85,0.0,2.65,1.59,1.67,0.71,0.44,9.47,5.82,2.0,1.65,9.76,2.18,0.0,0.0,0.0,1.59,0.29,0.06,2.12,2.65,0.0,Ala/Armador,#10
Paranhos,UNIFACISA,25,23.88,9.44,0.0,0.0,0.0,4.2,8.48,49.53,1.04,1.88,55.32,0.24,0.92,2.24,0.41,0.64,0.29,9.44,0.0,8.4,1.04,11.8,7.72,0.44,0.24,0.0,2.24,0.4,2.2,5.52,2.84,0.15,Pivô,#24
Arthur,BRB/Brasília,20,22.87,9.4,0.9,3.05,29.51,2.3,4.55,50.55,2.1,2.45,85.71,0.0,1.05,1.1,0.95,0.8,0.73,9.4,2.7,4.6,2.1,8.2,2.75,0.05,0.0,0.0,1.1,0.3,0.35,2.4,2.7,0.02,Ala,#4
Caio Torres,BRB/Brasília,28,23.42,9.39,0.93,2.86,32.5,2.64,5.11,51.75,1.32,1.82,72.55,0.0,0.79,1.46,0.54,0.39,0.27,9.39,2.79,5.29,1.32,10.39,5.86,0.32,0.11,0.0,1.46,0.07,1.29,4.57,2.04,0.16,Pivô,#13
Buffat,Pinheiros,23,23.39,9.35,1.3,3.61,36.14,1.96,4.43,44.12,1.52,2.0,76.09,0.09,1.91,1.65,1.16,0.7,0.42,9.35,3.91,3.91,1.52,8.65,3.3,0.3,0.0,0.0,1.65,0.39,0.74,2.57,2.26,0.13,Armador,#9
Crescenzi,Cerrado Basquete,30,20.33,9.3,1.43,4.43,32.33,2.07,3.57,57.94,0.87,1.1,78.79,0.0,1.8,1.0,1.8,1.1,1.1,9.3,4.3,4.13,0.87,10.23,3.57,0.2,0.03,0.0,1.0,0.07,0.7,2.87,2.2,0.09,Ala/Armador,#8
Vitão,Paulistano,30,25.01,9.23,1.47,4.27,34.38,1.83,4.37,41.98,1.17,1.47,79.55,0.13,1.1,1.13,0.97,0.7,0.62,9.23,4.4,3.67,1.17,9.83,5.53,0.03,0.03,0.0,1.13,0.37,1.4,4.13,1.9,0.02,Ala/Pivô,#10
Munford,Pinheiros,26,24.06,9.08,0.38,1.65,23.26,3.27,6.58,49.71,1.38,1.73,80.0,0.0,1.0,0.58,1.73,0.77,1.33,9.08,1.15,6.54,1.38,10.54,5.0,0.19,0.08,0.0,0.58,0.0,1.58,3.42,2.0,0.1,Ala,#14
Mathias,Fortaleza B. C.,30,25.63,9.07,0.2,0.8,25.0,3.73,6.03,61.88,1.0,1.63,61.22,0.23,1.0,2.07,0.48,0.63,0.31,9.07,0.6,7.47,1.0,15.77,9.7,0.97,0.27,0.0,2.07,0.33,2.23,7.47,2.73,0.35,Pivô,#12
Deryk,Paulistano,33,25.92,8.94,1.3,4.76,27.39,2.12,4.0,53.03,0.79,1.18,66.67,0.0,4.12,2.21,1.86,1.06,0.48,8.94,3.91,4.24,0.79,9.21,3.0,0.03,0.0,0.0,2.21,0.03,0.7,2.3,1.24,0.02,Ala/Armador,#9
Fabricio,Mogi,35,26.16,8.91,1.66,4.63,35.8,1.46,3.29,44.35,1.03,1.37,75.0,0.0,1.86,0.89,2.1,0.54,0.61,8.91,4.97,2.91,1.03,9.6,4.17,0.14,0.03,0.0,0.89,0.09,1.06,3.11,2.29,0.06,Ala/Pivô,#10
Scheuer,Pato Basquete,32,23.94,8.88,0.47,1.59,29.41,2.75,4.94,55.7,1.97,2.91,67.74,0.59,0.84,1.16,0.73,0.66,0.57,8.88,1.41,5.5,1.97,11.09,5.69,0.44,0.09,0.0,1.16,0.19,1.88,3.81,2.28,0.19,Ala/Pivô,#14
