Pos.,Jogador,Equipe,JO,Min,Pts,3P,2P,LL
192,J V Vieira #90,Cerrado Basquete,2,1.33,1.5,1.5,0.0,0.0
193,Ludwig #14,Corinthians,8,2.44,1.5,0.0,1.25,0.25
194,Dias #31,Minas,10,4.42,1.5,0.9,0.6,0.0
195,Ianguas #20,Paulistano,22,6.36,1.41,0.0,1.27,0.14
196,Gabriel #7,Fortaleza B. C.,16,5.57,1.38,0.19,0.75,0.44
197,Igor #20,São Paulo,15,7.77,1.2,1.0,0.0,0.2
198,D. Penteado #12,São Paulo,15,8.11,1.13,1.0,0.13,0.0
199,Augusto #46,Minas,9,3.29,1.11,0.0,0.89,0.22
200,Derick #8,Pato Basquete,24,6.23,1.08,0.25,0.83,0.0
201,Adriano Big #4,KTO/Caxias do Sul,17,6.84,1.06,0.0,0.71,0.35
202,Santana #34,Pinheiros,2,18.42,1.0,0.0,1.0,0.0
203,André #23,Paulistano,3,3.84,1.0,0.0,0.67,0.33
204,Emanuel Matias #11,Bauru,11,3.57,0.82,0.27,0.36,0.18
205,Dida #41,KTO/Caxias do Sul,7,4.91,0.71,0.0,0.57,0.14
206,Felipe #11,BRB/Brasília,15,3.77,0.67,0.0,0.67,0.0
207,Rafael #12,Paulistano,8,2.68,0.63,0.0,0.5,0.13
208,Felipe #16,Mogi,18,3.47,0.61,0.0,0.56,0.06
209,Ribeiro #12,Minas,7,4.4,0.57,0.0,0.29,0.29
210,Cristhyã #41,Flamengo,4,2.33,0.5,0.0,0.5,0.0
211,L. Muller #10,VipTech CMB,4,8.66,0.5,0.0,0.0,0.5
212,Buiú #14,Paulistano,12,3.08,0.5,0.5,0.0,0.0
213,Beto #5,Paulistano,24,3.91,0.42,0.25,0.17,0.0
214,Lukas Josuel #12,Bauru,5,1.91,0.4,0.0,0.4,0.0
215,Rapha #1,VipTech CMB,13,2.4,0.31,0.0,0.15,0.15
216,Vitor #7,Sesi Franca,7,2.08,0.29,0.0,0.29,0.0
217,P. Costa #1,BRB/Brasília,1,1.12,0.0,0.0,0.0,0.0
218,Daniel #0,Paulistano,1,3.3,0.0,0.0,0.0,0.0
219,C. Gonçalves #21,São Paulo,1,0.13,0.0,0.0,0.0,0.0
220,Du Klafke #14,Sesi Franca,1,1.53,0.0,0.0,0.0,0.0
221,Reynan #29,Sesi Franca,1,0.28,0.0,0.0,0.0,0.0
222,P. Barros #21,BRB/Brasília,1,1.12,0.0,0.0,0.0,0.0
223,Cestari #22,Corinthians,2,0.55,0.0,0.0,0.0,0.0
224,Ziggy #14,Mogi,2,4.38,0.0,0.0,0.0,0.0
225,Victorino #21,Paulistano,2,1.65,0.0,0.0,0.0,0.0
226,Duarte #17,Cerrado Basquete,2,3.35,0.0,0.0,0.0,0.0
227,Wander Broock #26,VipTech CMB,3,1.04,0.0,0.0,0.0,0.0
228,Cadu #10,BRB/Brasília,3,0.96,0.0,0.0,0.0,0.0
229,Victor #3,Corinthians,3,1.02,0.0,0.0,0.0,0.0
230,Elvis F. #17,Pinheiros,3,1.04,0.0,0.0,0.0,0.0
231,Marco #10,KTO/Caxias do Sul,3,0.27,0.0,0.0,0.0,0.0
232,Léo Abreu #13,Sesi Franca,3,1.09,0.0,0.0,0.0,0.0
233,Pedro Silva #6,Mogi,4,2.2,0.0,0.0,0.0,0.0
234,Murilo #5,Pato Basquete,4,4.33,0.0,0.0,0.0,0.0
