Pos.,Jogador,Equipe,JO,Min,EF,PTS,RT,AS,BR,TO,DD,TD
92,Ronald #6,Minas,6,11.54,3.0,2.0,2.0,0.33,0.0,0.33,0.0,0.0
93,Maciel #34,Flamengo,6,4.04,2.33,2.0,1.67,0.0,0.17,0.0,0.0,0.0
94,Luis #9,Cerrado Basquete,6,4.04,0.33,0.83,0.17,0.33,0.17,0.0,0.0,0.0
95,Schneider #18,Fortaleza B. C.,6,13.96,3.0,5.0,1.67,1.0,0.33,0.0,0.0,0.0
96,João Pedro #16,Bauru,6,6.54,1.33,1.67,0.67,0.0,0.17,0.0,0.0,0.0
97,Buiú #14,Paulistano,7,3.37,0.43,0.43,0.57,0.0,0.29,0.0,0.0,0.0
98,Ludwig #14,Corinthians,7,2.27,1.0,1.14,0.29,0.0,0.0,0.0,0.0,0.0
99,Gabriel #7,Fortaleza B. C.,7,6.85,0.86,1.29,0.86,0.14,0.0,0.14,0.0,0.0
100,Renato #15,Corinthians,8,25.17,8.25,8.38,3.63,1.75,0.5,0.38,0.0,0.0
101,Zach Graham #32,Bauru,8,31.54,11.75,16.0,3.25,0.88,0.63,0.38,0.0,0.0
102,Igor #20,São Paulo,8,3.84,0.5,1.13,0.13,0.38,0.25,0.0,0.0,0.0
103,Coleman #9,Mogi,8,34.02,12.63,16.13,3.63,0.88,1.0,0.13,0.0,0.0
104,Rafael #12,Paulistano,8,2.68,1.13,0.63,0.88,0.0,0.13,0.25,0.0,0.0
105,Shilton #66,KTO/Caxias do Sul,9,27.45,10.44,7.11,7.22,0.89,0.44,0.11,0.0,0.0
106,P. Rava #7,BRB/Brasília,9,24.11,6.67,7.11,1.78,2.78,0.56,0.0,0.0,0.0
107,Danilo #17,BRB/Brasília,9,14.34,4.78,3.89,2.0,0.67,0.44,0.0,0.0,0.0
108,Arthur #36,Corinthians,9,22.39,10.33,6.89,5.33,1.22,0.44,0.11,0.0,0.0
109,Derick #8,Pato Basquete,9,3.57,0.33,0.44,0.44,0.0,0.22,0.0,0.0,0.0
110,Sena #7,Pinheiros,9,13.57,4.44,5.11,1.56,1.22,0.78,0.0,0.0,0.0
111,Cook #55,VipTech CMB,9,32.79,12.89,19.0,2.44,2.44,0.78,0.11,0.0,0.0
112,David Jackson #32,Minas,9,27.9,11.78,10.78,1.78,2.67,1.33,0.0,0.0,0.0
113,Douglas Santos #0,Mogi,9,16.87,6.11,6.44,2.67,0.78,0.67,0.33,0.0,0.0
114,Marquinhos #11,Flamengo,9,23.39,9.67,10.67,4.67,2.67,0.44,0.0,0.0,0.0
115,Nogueira #92,Fortaleza B. C.,9,18.19,9.0,3.89,4.0,3.0,0.56,1.56,0.0,0.0
116,Lucas #10,Pato Basquete,10,20.98,7.4,7.9,2.5,2.4,0.8,0.0,0.0,0.0
117,Alexey Borges #8,Bauru,10,34.72,20.1,14.0,4.0,6.8,2.3,0.0,0.0,0.0
118,Nezinho #23,BRB/Brasília,10,26.94,6.3,10.7,2.2,4.6,1.4,0.0,0.0,0.0
119,L. Brito #6,VipTech CMB,10,6.77,1.1,1.7,1.1,0.3,0.7,0.0,0.0,0.0
120,Rafa Moreira #9,Minas,10,20.26,9.6,7.3,3.2,1.4,0.5,0.2,0.0,0.0
121,Leonardo #21,UNIFACISA,10,15.7,10.1,6.3,4.2,0.6,0.7,0.9,0.0,0.0
