Pos.,Jogador,Equipe,JO,Min,ET,VI,ER
181,Gemadinha #35,UNIFACISA,26,8.0,0.42,0.0,0.42
182,Alexandrino #13,UNIFACISA,19,12.32,0.42,0.21,0.42
183,Maciel #34,Flamengo,12,5.28,0.42,0.08,0.42
184,R. Rachel #20,Flamengo,22,7.75,0.41,0.14,0.41
185,Gerson #1,São Paulo,25,13.44,0.4,0.04,0.4
186,Felipe #16,Mogi,18,3.47,0.39,0.11,0.39
187,Derick #8,Pato Basquete,24,6.23,0.38,0.13,0.38
188,Gui Abreu #33,Sesi Franca,30,18.88,0.37,0.07,0.37
189,Léo Abreu #13,Sesi Franca,3,1.09,0.33,0.0,0.33
190,D. Penteado #12,São Paulo,15,8.11,0.33,0.07,0.33
191,Luis #9,Cerrado Basquete,18,7.99,0.33,0.06,0.33
192,Beto #5,Paulistano,24,3.91,0.33,0.08,0.33
193,Dalaqua #8,Corinthians,19,7.89,0.32,0.0,0.32
194,Rapha #1,VipTech CMB,13,2.4,0.31,0.0,0.31
195,Emanuel Matias #11,Bauru,11,3.57,0.27,0.09,0.27
196,Igor #20,São Paulo,15,7.77,0.27,0.07,0.27
197,Varejão #50,VipTech CMB,4,1.74,0.25,0.0,0.25
198,L. Muller #10,VipTech CMB,4,8.66,0.25,0.0,0.25
199,Murilo #5,Pato Basquete,4,4.33,0.25,0.0,0.25
200,Ludwig #14,Corinthians,8,2.44,0.25,0.0,0.25
201,Rafael #12,Paulistano,8,2.68,0.25,0.13,0.25
202,Lassance #24,Fortaleza B. C.,16,8.62,0.25,0.06,0.25
203,Isaac #7,São Paulo,24,16.3,0.25,0.08,0.25
204,Lukas Josuel #12,Bauru,5,1.91,0.2,0.0,0.2
205,Colina #8,Mogi,10,4.67,0.2,0.0,0.2
206,Felipe #11,BRB/Brasília,15,3.77,0.2,0.07,0.2
207,Djalo #35,Corinthians,11,5.29,0.18,0.0,0.18
208,Kirsten #11,Pato Basquete,11,6.57,0.18,0.09,0.18
209,Nathan #43,Sesi Franca,6,3.2,0.17,0.0,0.17
210,Dida #41,KTO/Caxias do Sul,7,4.91,0.14,0.0,0.14
211,Ianguas #20,Paulistano,22,6.36,0.09,0.0,0.09
212,Buiú #14,Paulistano,12,3.08,0.08,0.0,0.08
213,P. Costa #1,BRB/Brasília,1,1.12,0.0,0.0,0.0
214,C. Gonçalves #21,São Paulo,1,0.13,0.0,0.0,0.0
215,Du Klafke #14,Sesi Franca,1,1.53,0.0,0.0,0.0
216,Reynan #29,Sesi Franca,1,0.28,0.0,0.0,0.0
217,P. Barros #21,BRB/Brasília,1,1.12,0.0,0.0,0.0
218,Vinícius #3,Paulistano,2,2.87,0.0,0.0,0.0
219,Cestari #22,Corinthians,2,0.55,0.0,0.0,0.0
220,Rubinho #15,KTO/Caxias do Sul,2,1.2,0.0,0.0,0.0
221,J V Vieira #90,Cerrado Basquete,2,1.33,0.0,0.0,0.0
222,Victorino #21,Paulistano,2,1.65,0.0,0.0,0.0
223,Duarte #17,Cerrado Basquete,2,3.35,0.0,0.0,0.0
224,Wander Broock #26,VipTech CMB,3,1.04,0.0,0.0,0.0
225,Cadu #10,BRB/Brasília,3,0.96,0.0,0.0,0.0
226,Victor #3,Corinthians,3,1.02,0.0,0.0,0.0
227,Elvis F. #17,Pinheiros,3,1.04,0.0,0.0,0.0
228,Marco #10,KTO/Caxias do Sul,3,0.27,0.0,0.0,0.0
229,André #23,Paulistano,3,3.84,0.0,0.0,0.0
230,Vitor #7,Sesi Franca,7,2.08,0.0,0.0,0.0
231,Ruan #9,Flamengo,9,5.69,0.0,0.0,0.0
232,Augusto #46,Minas,9,3.29,0.0,0.0,0.0
233,Dias #31,Minas,10,4.42,0.0,0.0,0.0
234,Gabriel #7,Fortaleza B. C.,16,5.57,0.0,0.0,0.0
