pos,jogador,equipe,jo,min,ef,pts,rt,as,br,to,dd,td
168,Jones #2,São Paulo,23,11.91,3.83,3.74,1.57,0.74,0.22,0.13,0.0,0.0
169,Miller #33,UNIFACISA,23,23.87,9.87,10.3,3.09,1.48,0.52,0.13,0.0,0.0
170,Zach Graham #32,Flamengo,24,23.86,10.63,10.88,2.33,1.25,0.83,0.17,0.0,0.0
171,Dawkins #10,Pinheiros,24,29.21,10.5,10.0,3.63,3.63,1.38,0.04,0.0,0.0
172,Mogi #3,Botafogo,24,18.44,6.13,4.42,3.5,0.75,0.54,0.29,0.0,0.0
173,Alex #13,Mogi,24,8.74,2.0,1.67,1.38,0.25,0.38,0.25,0.0,0.0
174,Enzo #30,Rio Claro,24,29.42,12.63,13.42,2.88,2.29,1.04,0.17,0.0,0.0
175,Schattmann #20,Sesi Franca,24,19.45,9.33,9.5,2.58,1.5,0.46,0.0,0.0,0.0
176,Fuzaro #6,Mogi,24,34.49,17.08,17.88,4.33,2.33,1.13,0.5,0.0,0.0
177,Fischer #1,Corinthians,24,25.05,14.29,14.58,2.5,4.63,0.63,0.13,0.0,0.0
178,Mineiro #12,Flamengo,24,23.47,10.33,9.33,4.04,1.29,0.58,0.21,0.0,0.0
179,Armani #5,Fortaleza B. C.,24,2.63,0.21,0.54,0.54,0.13,0.04,0.0,0.0,0.0
180,Rashaun #17,Fortaleza B. C.,24,28.4,10.79,12.46,3.29,1.92,1.0,0.0,0.0,0.0
181,Deryk #9,Flamengo,24,18.51,6.46,6.13,1.21,2.71,0.96,0.04,0.0,0.0
182,Gabriel #12,UNIFACISA,24,15.25,3.92,5.67,1.29,0.46,0.42,0.08,0.0,0.0
183,G. Basílio #10,Pato Basquete,24,29.69,11.42,13.25,3.08,2.17,0.79,0.0,0.0,0.0
184,Demétrio #71,Flamengo,24,19.47,11.04,10.38,4.71,0.71,0.33,0.58,0.0,0.0
185,Alex #10,Fortaleza B. C.,24,27.48,6.29,10.33,2.92,1.25,0.42,0.04,0.0,0.0
186,Gui Deodato #1,Minas,24,24.96,11.08,10.25,3.92,1.5,1.25,0.17,0.0,0.0
187,Pedro Teruel #12,Rio Claro,24,18.21,5.29,6.63,1.67,1.63,0.21,0.0,0.0,0.0
188,Lucão #31,Rio Claro,25,10.73,3.72,3.12,2.36,0.32,0.16,0.12,0.0,0.0
189,Johnson #32,Corinthians,25,12.74,5.92,4.8,3.64,0.56,0.48,0.4,0.0,0.0
190,David Jackson #32,Sesi Franca,25,31.86,19.88,17.12,4.56,3.16,1.0,0.48,0.0,0.0
191,Scheuer #14,Pato Basquete,25,13.6,3.64,3.64,1.92,0.48,0.28,0.08,0.0,0.0
192,Vitão #10,Paulistano,25,23.15,9.04,9.0,3.76,1.0,0.44,0.24,0.0,0.0
193,Yago #2,Paulistano,25,31.78,15.84,16.04,3.0,5.44,1.08,0.04,0.0,0.0
194,Eugeniusz #6,São José,25,9.09,3.52,3.72,1.32,1.08,0.68,0.0,0.0,0.0
195,Jefferson #11,São Paulo,25,27.6,11.16,11.2,6.08,1.48,0.6,0.32,0.0,0.0
196,Davis #20,Fortaleza B. C.,25,23.5,8.0,9.72,2.16,1.12,0.84,0.08,0.0,0.0
197,Jimmy #18,Sesi Franca,25,24.51,7.96,6.92,3.04,1.6,0.68,0.0,0.0,0.0
198,Eddy #33,Paulistano,25,23.84,6.96,7.36,3.44,1.16,0.52,0.16,0.0,0.0
199,Paulinho #9,Botafogo,25,12.63,2.8,4.72,1.12,1.52,0.24,0.0,0.0,0.0
200,Rodrigues #16,Pato Basquete,25,12.78,5.24,4.52,2.92,0.24,0.44,0.28,0.0,0.0
201,Augusto #55,Pato Basquete,25,15.9,5.36,7.36,1.6,1.68,0.52,0.08,0.0,0.0
202,Paulo #7,Pato Basquete,25,21.48,6.44,8.96,2.6,1.0,0.64,0.32,0.0,0.0
203,B. Fiorotto #21,Brasília,25,21.03,9.44,7.12,5.52,1.56,1.0,0.36,0.0,0.0
204,Douglas Santos #0,Corinthians,26,6.43,1.92,2.0,0.85,0.15,0.23,0.15,0.0,0.0
205,Bennett #3,Pinheiros,26,31.61,15.31,14.77,3.08,3.81,1.23,0.04,0.0,0.0
206,Alexei Patrício #3,Minas,26,10.1,2.35,2.31,1.35,0.62,0.19,0.04,0.0,0.0
207,Robinson #31,Corinthians,26,22.52,9.08,8.96,3.12,1.38,0.31,0.23,0.0,0.0
208,Ambrosino #35,São José,26,13.7,7.19,6.65,2.5,0.92,0.23,0.19,0.0,0.0
209,Vezaro #10,Corinthians,26,19.29,8.35,7.19,2.85,1.04,0.58,0.08,0.0,0.0
210,Brito #6,Bauru,26,11.15,3.96,4.5,0.77,0.85,0.62,0.04,0.0,0.0
211,Crescenzi #8,Bauru,26,24.45,8.04,7.58,2.92,1.73,1.12,0.12,0.0,0.0
212,Diego #15,Botafogo,26,14.98,6.0,5.23,2.73,0.62,0.65,0.19,0.0,0.0
213,Lucas Mariano #28,Botafogo,26,25.74,14.27,15.58,4.77,0.88,0.42,0.77,0.0,0.0
214,Antonio #11,UNIFACISA,26,15.06,6.73,5.46,2.5,0.81,0.58,0.15,0.0,0.0
215,Fuller #2,Corinthians,26,26.62,9.46,13.5,1.65,2.54,0.81,0.0,0.0,0.0
216,Pará #20,Bauru,26,15.86,4.46,3.77,2.12,1.0,0.73,0.0,0.0,0.0
217,P. Rava #7,Brasília,26,23.45,7.15,6.35,2.65,2.46,1.04,0.12,0.0,0.0
218,Brite #3,Fortaleza B. C.,26,25.99,13.31,12.73,2.85,3.73,1.92,0.04,0.0,0.0
219,Lessa #32,Mogi,26,13.05,3.23,3.15,1.35,0.65,0.62,0.04,0.0,0.0
220,Cauê #8,Fortaleza B. C.,26,22.07,9.04,6.04,3.69,2.5,0.92,0.27,0.0,0.0
221,Pecos #23,Corinthians,26,18.76,7.31,6.85,2.96,2.85,0.65,0.0,0.0,0.0
222,Baxley #23,Rio Claro,26,24.18,10.15,13.19,2.0,1.46,0.58,0.19,0.0,0.0
223,Wesley #21,Corinthians,26,19.36,7.92,6.62,3.58,1.31,1.31,0.31,0.0,0.0
224,Ware #50,Pinheiros,27,21.38,8.7,7.81,4.19,1.0,0.33,0.19,0.0,0.0
225,Buffat #9,Pinheiros,27,20.08,7.3,5.07,3.11,1.26,0.7,0.19,0.0,0.0
226,L. Eltink #24,São José,27,17.95,6.52,4.41,2.89,1.52,0.81,0.3,0.0,0.0
227,Lupa #18,São José,27,23.54,12.3,9.63,4.37,1.89,0.81,0.3,0.0,0.0
228,Sérgio #1,São José,27,14.05,4.81,4.11,2.89,0.44,0.52,0.7,0.0,0.0
229,Mariani #4,São José,27,26.53,8.56,10.52,2.63,2.41,0.67,0.04,0.0,0.0
230,Gemadinha #35,UNIFACISA,27,17.13,5.37,6.78,1.37,0.96,0.56,0.0,0.0,0.0
231,Scaglia #6,Pinheiros,27,13.05,2.33,2.59,1.11,0.78,0.33,0.07,0.0,0.0
232,Caio Torres #13,Pinheiros,27,19.55,9.56,9.81,4.04,0.89,0.67,0.19,0.0,0.0
