Pos.,Jogador,Equipe,JO,Min,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN
90,Lucas #10,Pato Basquete,27,22.34,8.15,1.44,4.19,34.51,1.15,3.67,31.31,1.52,1.85,82.0,0.0
91,Jefferson #11,São Paulo,29,19.91,8.07,1.52,4.45,34.11,1.07,2.86,37.35,1.38,1.86,74.07,0.03
92,Balbi #6,Flamengo,25,23.45,8.0,1.52,4.24,35.85,1.12,2.44,45.9,1.2,1.64,73.17,0.0
93,Rafa #16,UNIFACISA,33,20.01,7.76,0.36,0.97,37.5,2.7,4.45,60.54,1.27,1.67,76.36,0.15
94,Frierson #3,VipTech CMB,30,18.95,7.7,1.83,5.23,35.03,0.63,1.5,42.22,0.93,1.27,73.68,0.0
95,Douglas Santos #0,Mogi,29,19.68,7.66,0.24,0.93,25.93,2.86,5.0,57.24,1.21,1.66,72.92,0.48
96,Vezaro #10,UNIFACISA,33,18.98,7.58,1.82,3.88,46.88,0.85,1.82,46.67,0.42,0.42,100.0,0.0
97,Márcio #3,Sesi Franca,30,16.56,7.4,0.23,0.53,43.75,2.47,3.9,63.25,1.77,2.8,63.1,0.8
98,Larry Taylor #4,Bauru,35,22.94,7.31,1.37,3.94,34.78,1.14,2.71,42.11,0.91,0.97,94.12,0.0
99,Diego #15,Bauru,34,19.89,7.24,1.29,2.88,44.9,1.18,2.5,47.06,1.0,1.38,72.34,0.12
100,Gui Abreu #33,Sesi Franca,30,18.88,7.23,1.07,2.8,38.1,1.5,2.67,56.25,1.03,1.4,73.81,0.37
101,Augusto #55,Pato Basquete,25,21.44,7.2,1.24,4.44,27.93,1.28,2.68,47.76,0.92,1.44,63.89,0.0
102,Renato #15,Corinthians,27,23.73,7.15,0.81,1.93,42.31,1.85,4.3,43.1,1.0,1.67,60.0,0.3
103,M. Pajé #25,VipTech CMB,30,22.68,7.1,0.87,3.0,28.89,1.9,3.73,50.89,0.7,1.17,60.0,0.07
104,João Vitor #0,UNIFACISA,13,18.24,7.08,0.0,0.08,0.0,2.69,5.77,46.67,1.69,3.23,52.38,0.46
105,Sena #7,Pinheiros,21,15.12,7.0,0.67,2.24,29.79,1.33,3.29,40.58,2.33,2.71,85.96,0.0
106,Sualisson #14,Fortaleza B. C.,29,24.97,7.0,0.45,1.62,27.66,2.48,5.0,49.66,0.69,1.59,43.48,0.17
107,Dawkins #10,São Paulo,30,17.7,7.0,1.07,2.57,41.56,1.4,2.63,53.16,1.0,1.33,75.0,0.0
108,Leal #2,Pato Basquete,32,18.7,7.0,0.03,0.09,33.33,2.75,5.5,50.0,1.41,2.47,56.96,0.28
109,P. Rava #7,BRB/Brasília,24,23.08,6.88,0.5,1.5,33.33,1.42,3.21,44.16,2.54,3.29,77.22,0.0
110,Servelin #3,Pato Basquete,29,19.62,6.86,0.9,2.14,41.94,1.62,3.24,50.0,0.93,1.21,77.14,0.0
111,Pedro #9,KTO/Caxias do Sul,32,21.34,6.84,1.06,3.16,33.66,1.22,2.69,45.35,1.22,1.56,78.0,0.0
112,Funches III #1,Pato Basquete,29,24.03,6.72,0.83,2.34,35.29,1.31,3.1,42.22,1.62,2.55,63.51,0.1
113,Castellon #8,VipTech CMB,29,19.6,6.72,1.38,4.31,32.0,0.83,2.21,37.5,0.93,1.14,81.82,0.03
114,T. Faria #1,Pinheiros,6,15.14,6.67,0.83,2.33,35.71,1.5,3.17,47.37,1.17,1.17,100.0,0.0
115,Schneider #18,Fortaleza B. C.,23,16.22,6.61,1.35,4.96,27.19,1.0,1.91,52.27,0.57,0.96,59.09,0.04
116,Luizinho #11,VipTech CMB,30,19.61,6.6,0.0,0.4,0.0,3.13,6.03,51.93,0.33,1.4,23.81,0.3
117,Ronald #6,Minas,24,17.06,6.58,0.0,0.08,0.0,2.67,4.08,65.31,1.25,2.17,57.69,0.17
118,Hubner #77,Sesi Franca,35,18.22,6.54,0.89,2.29,38.75,1.69,3.54,47.58,0.51,0.71,72.0,0.26
119,Teichmann #11,Pinheiros,27,27.05,6.52,0.0,0.07,0.0,2.89,5.04,57.35,0.74,1.7,43.48,0.3
120,Jefferson #0,BRB/Brasília,25,18.98,6.4,1.36,4.28,31.78,0.84,1.6,52.5,0.64,0.76,84.21,0.0
121,Isaac #7,São Paulo,24,16.3,6.38,1.33,2.83,47.06,0.83,1.21,68.97,0.71,0.88,80.95,0.17
122,Sahdi #32,UNIFACISA,15,19.11,6.2,1.27,4.13,30.65,0.67,1.93,34.48,1.07,1.13,94.12,0.0
123,Von Haydin #30,Cerrado Basquete,29,17.51,6.1,1.14,3.45,33.0,1.14,2.52,45.21,0.41,0.62,66.67,0.0
124,Queiros #3,Minas,32,16.34,6.06,1.31,3.22,40.78,0.84,1.78,47.37,0.44,0.56,77.78,0.13
125,Lessa #32,Mogi,35,22.86,5.94,0.51,1.86,27.69,1.86,3.06,60.75,0.69,1.0,68.57,0.0
126,L. Cauê #23,Corinthians,32,14.98,5.91,0.0,0.09,0.0,2.47,3.97,62.2,0.97,1.56,62.0,0.72
127,Mogi #19,Mogi,28,17.42,5.75,0.32,1.82,17.65,2.04,3.79,53.77,0.71,1.07,66.67,0.25
