pos,jogador,equipe,jo,min,pts,3p,2p,ll
202,Murilo #5,Pato Basquete,9,6.45,0.22,0.0,0.22,0.0
203,Jackson #13,Botafogo,18,1.43,0.11,0.0,0.11,0.0
204,Dalaqua #8,Corinthians,1,1.48,0.0,0.0,0.0,0.0
205,Sanchez #18,Rio Claro,1,2.08,0.0,0.0,0.0,0.0
206,Djalo #35,Corinthians,1,0.02,0.0,0.0,0.0,0.0
207,Sanches #34,Mogi,1,1.12,0.0,0.0,0.0,0.0
208,Guirro #11,São José,1,0.13,0.0,0.0,0.0,0.0
209,Mattos #29,Mogi,1,0.1,0.0,0.0,0.0,0.0
210,Andrew #27,Bauru,1,1.92,0.0,0.0,0.0,0.0
211,R. Piru #10,UNIFACISA,1,0.53,0.0,0.0,0.0,0.0
212,Honorato #6,Corinthians,1,0.08,0.0,0.0,0.0,0.0
213,Dhomini #13,Rio Claro,1,0.1,0.0,0.0,0.0,0.0
214,Mamedes #42,São Paulo,2,1.15,0.0,0.0,0.0,0.0
215,Felipe #11,Brasília,2,3.17,0.0,0.0,0.0,0.0
216,Augusto #46,Sesi Franca,2,1.18,0.0,0.0,0.0,0.0
217,Beto #5,Paulistano,2,7.15,0.0,0.0,0.0,0.0
218,Augusto #77,Rio Claro,2,1.37,0.0,0.0,0.0,0.0
219,Von Haydin #30,Corinthians,2,1.33,0.0,0.0,0.0,0.0
220,Marcos #35,Minas,2,0.77,0.0,0.0,0.0,0.0
221,Dias #31,Minas,3,1.0,0.0,0.0,0.0,0.0
222,Veloso #13,Brasília,3,1.36,0.0,0.0,0.0,0.0
223,R. Rachel #20,Flamengo,3,0.81,0.0,0.0,0.0,0.0
224,D. Souza #12,Pinheiros,3,1.18,0.0,0.0,0.0,0.0
225,Bruninho #9,Fortaleza B. C.,3,1.29,0.0,0.0,0.0,0.0
226,Elvis F. #17,Pinheiros,3,0.38,0.0,0.0,0.0,0.0
227,Maciel #34,Flamengo,3,1.26,0.0,0.0,0.0,0.0
228,J. Gabriel #23,Fortaleza B. C.,4,1.13,0.0,0.0,0.0,0.0
229,Buiú #14,Paulistano,4,0.65,0.0,0.0,0.0,0.0
230,Suassuna #20,Brasília,4,2.42,0.0,0.0,0.0,0.0
231,Edu Marília #11,Sesi Franca,4,0.63,0.0,0.0,0.0,0.0
232,Abner #33,São José,8,4.31,0.0,0.0,0.0,0.0
